10bit
adaptive

# Adaptive Scanline Filters
# The original filename is:
# SLA_Dk_060_Br_080.txt

# The parameters used to generate the filters are:
# base=gs3, k=1.280, dp=1.480, bp=1.080

# Dark Coefficients
   5, 317,   5,   0
   5, 317,   6,   0
   5, 317,   6,   0
   5, 317,   6,   0
   5, 317,   6,   0
   5, 316,   6,   0
   4, 316,   6,   0
   4, 316,   7,   0
   4, 315,   7,   0
   4, 315,   7,   0
   4, 314,   7,   0
   4, 314,   8,   0
   4, 313,   8,   0
   3, 313,   8,   0
   3, 312,   8,   0
   3, 311,   8,   0
   3, 310,   9,   0
   3, 310,   9,   0
   3, 309,   9,   0
   3, 308,  10,   0
   3, 307,  10,   0
   3, 306,  10,   0
   3, 305,  10,   0
   2, 304,  11,   0
   2, 302,  11,   0
   2, 301,  11,   0
   2, 300,  12,   0
   2, 299,  12,   0
   2, 297,  12,   0
   2, 296,  13,   0
   2, 295,  13,   0
   2, 293,  13,   0
   2, 292,  14,   0
   2, 290,  14,   0
   2, 289,  14,   0
   2, 287,  15,   0
   2, 285,  15,   0
   1, 284,  16,   0
   1, 282,  16,   0
   1, 280,  16,   0
   1, 279,  17,   0
   1, 277,  17,   0
   1, 275,  18,   0
   1, 273,  18,   0
   1, 271,  19,   0
   1, 269,  19,   0
   1, 267,  20,   0
   1, 265,  20,   0
   1, 263,  21,   0
   1, 261,  21,   0
   1, 259,  22,   0
   1, 257,  22,   0
   1, 255,  23,   0
   1, 253,  23,   0
   1, 251,  24,   0
   1, 249,  24,   0
   1, 247,  25,   0
   1, 245,  25,   0
   1, 243,  26,   0
   1, 240,  27,   0
   1, 238,  27,   0
   1, 236,  28,   0
   1, 234,  28,   0
   1, 231,  29,   0
   1, 229,  30,   0
   0, 227,  30,   0
   0, 225,  31,   0
   0, 222,  32,   0
   0, 220,  33,   0
   0, 218,  33,   0
   0, 216,  34,   0
   0, 213,  35,   0
   0, 211,  35,   0
   0, 209,  36,   0
   0, 207,  37,   0
   0, 204,  38,   0
   0, 202,  38,   0
   0, 200,  39,   0
   0, 197,  40,   0
   0, 195,  41,   0
   0, 193,  42,   0
   0, 191,  43,   0
   0, 188,  43,   0
   0, 186,  44,   0
   0, 184,  45,   0
   0, 182,  46,   0
   0, 179,  47,   0
   0, 177,  48,   0
   0, 175,  49,   0
   0, 173,  50,   0
   0, 171,  51,   0
   0, 168,  52,   0
   0, 166,  53,   0
   0, 164,  54,   0
   0, 162,  55,   0
   0, 160,  56,   0
   0, 158,  57,   0
   0, 156,  58,   0
   0, 153,  59,   0
   0, 151,  60,   0
   0, 149,  61,   0
   0, 147,  62,   0
   0, 145,  63,   0
   0, 143,  65,   0
   0, 141,  66,   0
   0, 139,  67,   0
   0, 137,  68,   0
   0, 135,  69,   0
   0, 133,  70,   0
   0, 131,  72,   0
   0, 130,  73,   0
   0, 128,  74,   0
   0, 126,  76,   0
   0, 124,  77,   0
   0, 122,  78,   0
   0, 120,  79,   0
   0, 118,  81,   0
   0, 117,  82,   0
   0, 115,  84,   0
   0, 113,  85,   0
   0, 111,  86,   0
   0, 110,  88,   0
   0, 108,  89,   0
   0, 106,  91,   0
   0, 105,  92,   0
   0, 103,  94,   0
   0, 102,  95,   0
   0, 100,  97,   0
   0,  98,  98,   0
   0,  97, 100,   0
   0,  95, 102,   0
   0,  94, 103,   0
   0,  92, 105,   0
   0,  91, 106,   0
   0,  89, 108,   0
   0,  88, 110,   0
   0,  86, 111,   0
   0,  85, 113,   0
   0,  84, 115,   0
   0,  82, 117,   0
   0,  81, 118,   0
   0,  79, 120,   0
   0,  78, 122,   0
   0,  77, 124,   0
   0,  76, 126,   0
   0,  74, 128,   0
   0,  73, 130,   0
   0,  72, 131,   0
   0,  70, 133,   0
   0,  69, 135,   0
   0,  68, 137,   0
   0,  67, 139,   0
   0,  66, 141,   0
   0,  65, 143,   0
   0,  63, 145,   0
   0,  62, 147,   0
   0,  61, 149,   0
   0,  60, 151,   0
