10bit
adaptive

# Adaptive Scanline Filters
# The original filename is:
# SLA_Dk_010_Br_070.txt

# The parameters used to generate the filters are:
# base=gs3, k=1.505, dp=2.080, bp=1.240

# Dark Coefficients
   6, 373,   6,   0
   6, 373,   6,   0
   6, 372,   7,   0
   6, 372,   7,   0
   6, 371,   7,   0
   5, 371,   7,   0
   5, 370,   8,   0
   5, 369,   8,   0
   5, 367,   8,   0
   5, 366,   8,   0
   4, 364,   8,   0
   4, 363,   9,   0
   4, 361,   9,   0
   4, 359,   9,   0
   4, 357,   9,   0
   4, 354,  10,   0
   4, 352,  10,   0
   3, 349,  10,   0
   3, 346,  10,   0
   3, 343,  11,   0
   3, 340,  11,   0
   3, 337,  11,   0
   3, 334,  11,   0
   3, 331,  12,   0
   3, 327,  12,   0
   2, 323,  12,   0
   2, 320,  12,   0
   2, 316,  13,   0
   2, 312,  13,   0
   2, 308,  13,   0
   2, 304,  13,   0
   2, 300,  14,   0
   2, 295,  14,   0
   2, 291,  14,   0
   2, 287,  14,   0
   2, 282,  15,   0
   1, 277,  15,   0
   1, 273,  15,   0
   1, 268,  15,   0
   1, 264,  15,   0
   1, 259,  16,   0
   1, 254,  16,   0
   1, 249,  16,   0
   1, 244,  16,   0
   1, 240,  16,   0
   1, 235,  17,   0
   1, 230,  17,   0
   1, 225,  17,   0
   1, 220,  17,   0
   1, 215,  17,   0
   1, 210,  17,   0
   1, 206,  18,   0
   1, 201,  18,   0
   1, 196,  18,   0
   1, 191,  18,   0
   1, 187,  18,   0
   1, 182,  18,   0
   0, 177,  18,   0
   0, 173,  19,   0
   0, 168,  19,   0
   0, 163,  19,   0
   0, 159,  19,   0
   0, 155,  19,   0
   0, 150,  19,   0
   0, 146,  19,   0
   0, 142,  19,   0
   0, 137,  19,   0
   0, 133,  19,   0
   0, 129,  19,   0
   0, 125,  19,   0
   0, 122,  19,   0
   0, 118,  19,   0
   0, 114,  19,   0
   0, 110,  19,   0
   0, 107,  19,   0
   0, 103,  19,   0
   0, 100,  19,   0
   0,  96,  19,   0
   0,  93,  19,   0
   0,  90,  19,   0
   0,  87,  19,   0
   0,  84,  19,   0
   0,  81,  19,   0
   0,  78,  19,   0
   0,  75,  19,   0
   0,  73,  18,   0
   0,  70,  18,   0
   0,  68,  18,   0
   0,  65,  18,   0
   0,  63,  18,   0
   0,  61,  18,   0
   0,  58,  18,   0
   0,  56,  18,   0
   0,  54,  18,   0
   0,  52,  18,   0
   0,  50,  18,   0
   0,  49,  18,   0
   0,  47,  17,   0
   0,  45,  17,   0
   0,  44,  17,   0
   0,  42,  17,   0
   0,  41,  17,   0
   0,  39,  17,   0
   0,  38,  17,   0
   0,  37,  17,   0
   0,  35,  17,   0
   0,  34,  17,   0
   0,  33,  17,   0
   0,  32,  17,   0
   0,  31,  17,   0
   0,  30,  17,   0
   0,  29,  17,   0
   0,  28,  17,   0
   0,  27,  17,   0
   0,  27,  17,   0
   0,  26,  17,   0
   0,  25,  17,   0
   0,  24,  17,   0
   0,  24,  17,   0
   0,  23,  17,   0
   0,  23,  18,   0
   0,  22,  18,   0
   0,  22,  18,   0
   0,  21,  18,   0
   0,  21,  18,   0
   0,  20,  18,   0
   0,  20,  19,   0
   0,  20,  19,   0
   0,  19,  19,   0
   0,  19,  20,   0
   0,  19,  20,   0
   0,  18,  20,   0
   0,  18,  21,   0
   0,  18,  21,   0
   0,  18,  22,   0
   0,  18,  22,   0
   0,  18,  23,   0
   0,  17,  23,   0
   0,  17,  24,   0
   0,  17,  24,   0
   0,  17,  25,   0
   0,  17,  26,   0
