10bit
adaptive

# Adaptive Scanline Filters
# The original filename is:
# SLA_Dk_050_Br_050.txt

# The parameters used to generate the filters are:
# base=gs3, k=1.325, dp=1.600, bp=1.000

# Dark Coefficients
   6, 328,   6,   0
   5, 328,   6,   0
   5, 328,   6,   0
   5, 328,   6,   0
   5, 328,   6,   0
   5, 327,   6,   0
   5, 327,   7,   0
   4, 326,   7,   0
   4, 326,   7,   0
   4, 325,   7,   0
   4, 325,   8,   0
   4, 324,   8,   0
   4, 323,   8,   0
   4, 323,   8,   0
   3, 322,   8,   0
   3, 321,   9,   0
   3, 320,   9,   0
   3, 319,   9,   0
   3, 318,  10,   0
   3, 316,  10,   0
   3, 315,  10,   0
   3, 314,  10,   0
   3, 312,  11,   0
   3, 311,  11,   0
   2, 310,  11,   0
   2, 308,  12,   0
   2, 307,  12,   0
   2, 305,  12,   0
   2, 303,  12,   0
   2, 301,  13,   0
   2, 300,  13,   0
   2, 298,  14,   0
   2, 296,  14,   0
   2, 294,  14,   0
   2, 292,  15,   0
   2, 290,  15,   0
   2, 288,  15,   0
   1, 286,  16,   0
   1, 284,  16,   0
   1, 282,  16,   0
   1, 280,  17,   0
   1, 277,  17,   0
   1, 275,  18,   0
   1, 273,  18,   0
   1, 271,  19,   0
   1, 268,  19,   0
   1, 266,  19,   0
   1, 263,  20,   0
   1, 261,  20,   0
   1, 259,  21,   0
   1, 256,  21,   0
   1, 254,  22,   0
   1, 251,  22,   0
   1, 249,  23,   0
   1, 246,  23,   0
   1, 243,  24,   0
   1, 241,  24,   0
   1, 238,  25,   0
   1, 236,  25,   0
   1, 233,  26,   0
   1, 230,  26,   0
   1, 228,  27,   0
   1, 225,  27,   0
   1, 223,  28,   0
   0, 220,  29,   0
   0, 217,  29,   0
   0, 215,  30,   0
   0, 212,  30,   0
   0, 209,  31,   0
   0, 207,  32,   0
   0, 204,  32,   0
   0, 202,  33,   0
   0, 199,  33,   0
   0, 196,  34,   0
   0, 194,  35,   0
   0, 191,  35,   0
   0, 189,  36,   0
   0, 186,  37,   0
   0, 183,  37,   0
   0, 181,  38,   0
   0, 178,  39,   0
   0, 176,  39,   0
   0, 173,  40,   0
   0, 171,  41,   0
   0, 169,  41,   0
   0, 166,  42,   0
   0, 164,  43,   0
   0, 161,  44,   0
   0, 159,  44,   0
   0, 157,  45,   0
   0, 154,  46,   0
   0, 152,  47,   0
   0, 150,  47,   0
   0, 147,  48,   0
   0, 145,  49,   0
   0, 143,  50,   0
   0, 141,  51,   0
   0, 139,  52,   0
   0, 137,  52,   0
   0, 134,  53,   0
   0, 132,  54,   0
   0, 130,  55,   0
   0, 128,  56,   0
   0, 126,  57,   0
   0, 124,  58,   0
   0, 122,  59,   0
   0, 120,  60,   0
   0, 119,  61,   0
   0, 117,  62,   0
   0, 115,  63,   0
   0, 113,  64,   0
   0, 111,  65,   0
   0, 109,  66,   0
   0, 108,  67,   0
   0, 106,  68,   0
   0, 104,  69,   0
   0, 103,  70,   0
   0, 101,  71,   0
   0,  99,  72,   0
   0,  98,  73,   0
   0,  96,  75,   0
   0,  95,  76,   0
   0,  93,  77,   0
   0,  92,  78,   0
   0,  90,  80,   0
   0,  89,  81,   0
   0,  88,  82,   0
   0,  86,  83,   0
   0,  85,  85,   0
   0,  83,  86,   0
   0,  82,  88,   0
   0,  81,  89,   0
   0,  80,  90,   0
   0,  78,  92,   0
   0,  77,  93,   0
   0,  76,  95,   0
   0,  75,  96,   0
   0,  73,  98,   0
   0,  72,  99,   0
   0,  71, 101,   0
   0,  70, 103,   0
   0,  69, 104,   0
   0,  68, 106,   0
   0,  67, 108,   0
   0,  66, 109,   0
   0,  65, 111,   0
   0,  64, 113,   0
   0,  63, 115,   0
   0,  62, 117,   0
   0,  61, 119,   0
   0,  60, 120,   0
   0,  59, 122,   0
   0,  58, 124,   0
   0,  57, 126,   0
   0,  56, 128,   0
   0,  55, 130,   0
   0,  54, 132,   0
   0,  53, 134,   0
   0,  52, 137,   0
   0,  52, 139,   0
   0,  51, 141,   0
   0,  50, 143,   0
   0,  49, 145,   0
   0,  48, 147,   0
   0,  47, 150,   0
   0,  47, 152,   0
   0,  46, 154,   0
   0,  45, 157,   0
   0,  44, 159,   0
   0,  44, 161,   0
   0,  43, 164,   0
   0,  42, 166,   0
   0,  41, 169,   0
   0,  41, 171,   0
   0,  40, 173,   0
   0,  39, 176,   0
   0,  39, 178,   0
   0,  38, 181,   0
   0,  37, 183,   0
   0,  37, 186,   0
   0,  36, 189,   0
   0,  35, 191,   0
   0,  35, 194,   0
   0,  34, 196,   0
   0,  33, 199,   0
   0,  33, 202,   0
   0,  32, 204,   0
   0,  32, 207,   0
   0,  31, 209,   0
   0,  30, 212,   0
   0,  30, 215,   0
   0,  29, 217,   0
   0,  29, 220,   0
   0,  28, 223,   1
   0,  27, 225,   1
   0,  27, 228,   1
   0,  26, 230,   1
   0,  26, 233,   1
   0,  25, 236,   1
   0,  25, 238,   1
   0,  24, 241,   1
   0,  24, 243,   1
   0,  23, 246,   1
   0,  23, 249,   1
   0,  22, 251,   1
   0,  22, 254,   1
   0,  21, 256,   1
   0,  21, 259,   1
   0,  20, 261,   1
   0,  20, 263,   1
   0,  19, 266,   1
   0,  19, 268,   1
   0,  19, 271,   1
   0,  18, 273,   1
   0,  18, 275,   1
   0,  17, 277,   1
   0,  17, 280,   1
   0,  16, 282,   1
   0,  16, 284,   1
   0,  16, 286,   1
   0,  15, 288,   2
   0,  15, 290,   2
   0,  15, 292,   2
   0,  14, 294,   2
   0,  14, 296,   2
   0,  14, 298,   2
   0,  13, 300,   2
   0,  13, 301,   2
   0,  12, 303,   2
   0,  12, 305,   2
   0,  12, 307,   2
   0,  12, 308,   2
   0,  11, 310,   2
   0,  11, 311,   3
   0,  11, 312,   3
   0,  10, 314,   3
   0,  10, 315,   3
   0,  10, 316,   3
   0,  10, 318,   3
   0,   9, 319,   3
   0,   9, 320,   3
   0,   9, 321,   3
   0,   8, 322,   3
   0,   8, 323,   4
   0,   8, 323,   4
   0,   8, 324,   4
