   0,  39, 137,   0
   0,  39, 139,   0
   0,  38, 141,   0
   0,  37, 144,   0
   0,  37, 145,   0
   0,  36, 148,   0
   0,  36, 150,   0
   0,  35, 152,   0
   0,  34, 154,   0
   0,  34, 156,   0
   0,  33, 159,   0
   0,  32, 160,   0
   0,  32, 163,   0
   0,  31, 165,   0
   0,  31, 167,   0
   0,  30, 170,   0
   0,  30, 172,   0
   0,  29, 174,   0
   0,  29, 177,   0
   0,  28, 179,   0
   0,  28, 181,   0
   0,  27, 183,   0
   0,  26, 186,   0
   0,  26, 188,   0
   0,  25, 190,   0
   0,  25, 193,   0
   0,  24, 195,   0
   0,  24, 197,   0
   0,  23, 200,   0
   0,  23, 202,   0
   0,  22, 204,   0
   0,  22, 207,   0
   0,  22, 209,   0
   0,  21, 211,   1
   0,  21, 213,   1
   0,  20, 216,   1
   0,  20, 218,   1
   0,  19, 220,   1
   0,  19, 222,   1
   0,  18, 224,   1
   0,  18, 227,   1
   0,  17, 229,   1
   0,  17, 231,   1
   0,  17, 233,   1
   0,  16, 235,   1
   0,  16, 237,   1
   0,  16, 239,   1
   0,  15, 241,   1
   0,  15, 243,   1
   0,  15, 245,   1
   0,  14, 247,   1
   0,  14, 249,   1
   0,  14, 251,   1
   0,  13, 252,   1
   0,  13, 254,   1
   0,  13, 256,   1
   0,  12, 258,   1
   0,  12, 259,   1
   0,  12, 261,   1
   0,  11, 263,   1
   0,  11, 264,   2
   0,  10, 266,   2
   0,  10, 267,   2
   0,  10, 269,   2
   0,  10, 270,   2
   0,   9, 272,   2
   0,   9, 273,   2
   0,   9, 274,   2
   0,   9, 275,   2
   0,   9, 276,   2
   0,   8, 277,   2
   0,   8, 279,   2
   0,   8, 280,   2
   0,   8, 280,   2
   0,   8, 281,   3
   0,   7, 282,   3
   0,   7, 283,   3
   0,   7, 283,   3
   0,   7, 284,   3
   0,   7, 285,   3
   0,   6, 285,   3
   0,   6, 286,   3
   0,   6, 286,   3
   0,   6, 287,   4
   0,   5, 287,   4
   0,   5, 287,   4
   0,   5, 287,   4
   0,   5, 288,   4
   0,   5, 288,   4

# Bright Coefficients
   4, 248,   4,   0
   4, 248,   4,   0
   4, 248,   4,   0
   4, 248,   5,   0
   4, 248,   5,   0
   4, 247,   5,   0
   3, 247,   5,   0
   3, 247,   5,   0
   3, 247,   5,   0
   3, 247,   6,   0
   3, 247,   6,   0
   3, 247,   6,   0
   3, 246,   6,   0
   3, 246,   6,   0
   3, 246,   6,   0
   3, 246,   7,   0
   2, 245,   7,   0
   2, 245,   7,   0
   2, 245,   7,   0
   2, 244,   8,   0
   2, 244,   8,   0
   2, 243,   8,   0
   2, 243,   8,   0
   2, 243,   9,   0
   2, 242,   9,   0
   2, 242,   9,   0
   2, 241,   9,   0
   2, 241,  10,   0
   2, 240,  10,   0
   2, 239,  10,   0
   2, 239,  10,   0
   1, 238,  11,   0
   1, 237,  11,   0
   1, 237,  11,   0
   1, 236,  12,   0
   1, 235,  12,   0
   1, 235,  12,   0
   1, 234,  13,   0
   1, 233,  13,   0
   1, 232,  14,   0
   1, 231,  14,   0
   1, 231,  14,   0
   1, 230,  15,   0
   1, 229,  15,   0
   1, 228,  16,   0
   1, 227,  16,   0
   1, 226,  17,   0
   1, 225,  17,   0
   1, 224,  17,   0
   1, 223,  18,   0
   1, 222,  18,   0
   1, 221,  19,   0
   1, 220,  19,   0
   1, 219,  20,   0
   1, 218,  21,   0
   1, 216,  21,   0
   1, 215,  22,   0
   1, 214,  22,   0
   1, 213,  23,   0
   1, 212,  23,   0
   1, 210,  24,   0
   1, 209,  25,   0
   0, 208,  25,   0
   0, 207,  26,   0
   0, 205,  27,   0
   0, 204,  27,   0
   0, 203,  28,   0
   0, 201,  29,   0
   0, 200,  30,   0
   0, 199,  30,   0
   0, 197,  31,   0
   0, 196,  32,   0
   0, 194,  33,   0
   0, 193,  33,   0
   0, 191,  34,   0
   0, 190,  35,   0
   0, 188,  36,   0
   0, 187,  37,   0
   0, 185,  38,   0
   0, 184,  39,   0
   0, 182,  39,   0
   0, 181,  40,   0
   0, 179,  41,   0
   0, 178,  42,   0
   0, 176,  43,   0
   0, 175,  44,   0
   0, 173,  45,   0
   0, 171,  46,   0
   0, 170,  47,   0
   0, 168,  48,   0
   0, 167,  50,   0
   0, 165,  51,   0
   0, 163,  52,   0
   0, 162,  53,   0
   0, 160,  54,   0
   0, 158,  55,   0
   0, 157,  56,   0
   0, 155,  58,   0
   0, 153,  59,   0
   0, 152,  60,   0
   0, 150,  61,   0
   0, 148,  63,   0
   0, 146,  64,   0
   0, 145,  65,   0
   0, 143,  67,   0
   0, 141,  68,   0
   0, 140,  69,   0
   0, 138,  71,   0
   0, 136,  72,   0
   0, 134,  73,   0
   0, 133,  75,   0
   0, 131,  76,   0
   0, 129,  78,   0
   0, 128,  79,   0
   0, 126,  81,   0
   0, 124,  82,   0
   0, 122,  84,   0
   0, 121,  85,   0
   0, 119,  87,   0
   0, 117,  88,   0
   0, 116,  90,   0
   0, 114,  91,   0
   0, 112,  93,   0
   0, 111,  94,   0
   0, 109,  96,   0
   0, 107,  98,   0
   0, 106,  99,   0
   0, 104, 101,   0
   0, 102, 102,   0
   0, 101, 104,   0
   0,  99, 106,   0
   0,  98, 107,   0
   0,  96, 109,   0
   0,  94, 111,   0
   0,  93, 112,   0
   0,  91, 114,   0
   0,  90, 116,   0
   0,  88, 117,   0
   0,  87, 119,   0
   0,  85, 121,   0
   0,  84, 122,   0
   0,  82, 124,   0
   0,  81, 126,   0
   0,  79, 128,   0
   0,  78, 129,   0
   0,  76, 131,   0
   0,  75, 133,   0
   0,  73, 134,   0
   0,  72, 136,   0
   0,  71, 138,   0
   0,  69, 140,   0
   0,  68, 141,   0
   0,  67, 143,   0
   0,  65, 145,   0
   0,  64, 146,   0
   0,  63, 148,   0
   0,  61, 150,   0
   0,  60, 152,   0
   0,  59, 153,   0
   0,  58, 155,   0
   0,  56, 157,   0
   0,  55, 158,   0
   0,  54, 160,   0
   0,  53, 162,   0
   0,  52, 163,   0
   0,  51, 165,   0
   0,  50, 167,   0
   0,  48, 168,   0
   0,  47, 170,   0
   0,  46, 171,   0
   0,  45, 173,   0
   0,  44, 175,   0
   0,  43, 176,   0
   0,  42, 178,   0
   0,  41, 179,   0
   0,  40, 181,   0
   0,  39, 182,   0
   0,  39, 184,   0
   0,  38, 185,   0
   0,  37, 187,   0
   0,  36, 188,   0
   0,  35, 190,   0
   0,  34, 191,   0
   0,  33, 193,   0
   0,  33, 194,   0
   0,  32, 196,   0
   0,  31, 197,   0
   0,  30, 199,   0
   0,  30, 200,   0
   0,  29, 201,   0
   0,  28, 203,   0
   0,  27, 204,   0
   0,  27, 205,   0
   0,  26, 207,   0
   0,  25, 208,   0
   0,  25, 209,   1
   0,  24, 210,   1
   0,  23, 212,   1
   0,  23, 213,   1
   0,  22, 214,   1
   0,  22, 215,   1
   0,  21, 216,   1
   0,  21, 218,   1
   0,  20, 219,   1
   0,  19, 220,   1
   0,  19, 221,   1
   0,  18, 222,   1
   0,  18, 223,   1
   0,  17, 224,   1
   0,  17, 225,   1
   0,  17, 226,   1
   0,  16, 227,   1
   0,  16, 228,   1
   0,  15, 229,   1
   0,  15, 230,   1
   0,  14, 231,   1
   0,  14, 231,   1
   0,  14, 232,   1
   0,  13, 233,   1
   0,  13, 234,   1
   0,  12, 235,   1
   0,  12, 235,   1
   0,  12, 236,   1
   0,  11, 237,   1
   0,  11, 237,   1
   0,  11, 238,   1
   0,  10, 239,   2
   0,  10, 239,   2
   0,  10, 240,   2
   0,  10, 241,   2
   0,   9, 241,   2
   0,   9, 242,   2
   0,   9, 242,   2
   0,   9, 243,   2
   0,   8, 243,   2
   0,   8, 243,   2
   0,   8, 244,   2
   0,   8, 244,   2
   0,   7, 245,   2
   0,   7, 245,   2
   0,   7, 245,   2
   0,   7, 246,   3
   0,   6, 246,   3
   0,   6, 246,   3
   0,   6, 246,   3
   0,   6, 247,   3
   0,   6, 247,   3
   0,   6, 247,   3
   0,   5, 247,   3
   0,   5, 247,   3
   0,   5, 247,   3
   0,   5, 247,   4
   0,   5, 248,   4
   0,   5, 248,   4
   0,   4, 248,   4
   0,   4, 248,   4

